location,likes,text,date
"Chicago, IL USA",122486,"RT @funder: Never forget Republicans could’ve removed Trump. 

And still can. 

They CHOOSE to keep him in office. They CHOOSE to let him l…",6/22/2009
"Aloha, OR",45099,"RT @charliekirk11: Did you know:

If your state opens earlier than you would like, you are allowed to continue to stay at home.

I won't fo…",2/3/2008
"Boston, MA",65535,"RT @glennkirschner2: Just as Americans are victims of an incompetent, corrupt &amp;  uncaring federal government, so too are the people of Russ…",10/8/2011
"Arizona, USA",656,"RT @citizens_free: If you are sick of political tyrants like Mayor DeBlasio, please sign our #DefendLibertyPetition and tell these TOTALITA…",5/21/2018
"Boston, MA",7410,RT @Lalaith471: #CNNTownHall: Here is a husband and wife team: both are CRNAs and are on the intubation team for COVID patients in their he…,9/16/2010
"Oakland, CA",2894,RT @PublicHealthMap: A7: #BeTheDifference for people with mental health concerns during #COVID19! @MHFirstAidUSA has lots of great tips for…,5/30/2009
"Salt Lake City, UT",15854,"Yup, already this coming.... smh haha https://t.co/IFYtSrTlWc",12/6/2012
"Orlando, FL",152325,"RT @JoeNBC: Trump desperately tries to shift blame from his deadly blunders. First, it was the media, then Democratic governors, China, Oba…",2/28/2009
"Washington, DC",22970,RT @tomwalkerisgood: the news is indistinguishable from shitposts. joe exotic has coronavirus? okay. in one day i take in more information…,5/8/2014
"Los Angeles, CA",78374,RT @Mimirocah1: “That the pandemic occurred is not Trump’s fault. The utter unpreparedness of the United States for a pandemic is Trump’s f…,4/22/2009
"Connecticut, USA",28578,RT @billmaher: Stop trying to get me to watch Tiger King. I already have to watch one bottle-blonde from reality TV. And the other reason I…,8/9/2011
"San Antonio, TX",349696,"RT @AjitPaiFCC: @WorldBank You don’t say. 

""And Wesleyan University ... said in October that it would no longer pursue a joint campus in C…",8/23/2017
"St Louis, MO",51023,"Something I've noticed about phone conversations with friends has been how we are all so excited, and laugh more he… https://t.co/iMx26sxGDq",10/1/2018
"North Carolina, USA",25820,@GillyardBrad @IslandGirlPRV @dad_darius The great joy of being the descendant of the most vicious beast to plunder… https://t.co/OQ4VsKXAUG,9/24/2017
"Duluth, MN",60374,"RT @TravisAllen02: If you had to pick one person to cuss out Trump at his daily Coronavirus briefing, who would it be?",4/21/2016
"Cleveland, OH",17075,"Quarantina, such a good name https://t.co/qv7HzkUDEt",7/21/2011
"Kansas City, Missouri",60388,RT @KamalaHarris: Fifty days ago I attended a Homeland Security committee meeting about the coronavirus—and no current Trump administration…,10/18/2010
"SANTIAGO, VERAGUAS, PANAMA",79,"RT @R_RuizDiaz: Mientras el covid 19 mata gente, la corrupción mata la esperanza de todo el país. 
No entiendo que fuerza sobre humana tien…",1/21/2011
"Hawaii, USA",16364,"RT @aalondrar01: Plebes, mis papás y yo estamos haciendo despensas para familias que perdieron sus trabajos/ingresos por la situación del C…",12/7/2017
"Colorado, USA",57716,RT @jimcramer: Please let's lower our expectations. This may be the most contagious illness ever...We have no vaccine ...,9/26/2017
"Montgomery, TX, Cloudcroft, NM",106980,RT @thomaskaine5: Do you think Fox News should be sued for their role in the spreading lies about the corona-virus?   What about their enab…,10/27/2011
"Las Vegas, NV",4673,RT @SaycheeseDGTL: Stockton California teen kills herself after 'struggling to cope with the pressure of “stay-at-home orders”💔 https://t.c…,1/3/2019
"Los Angeles, CA",12937,RT @damo_wav: When she still ain’t responding to your text during lockdown,2/22/2019
"Charlotte, NC",597167,RT @kylie_oneil75: Tucker Carlson: The WHO Helped China Cover-Up Coronavirus https://t.co/bVRr7v05Xg,5/19/2012
"Augusta, GA",5382,"RT @KatiePhang: Phunware, a data firm for the Trump campaign, got millions in coronavirus small business help.

$2.85 million.  In 2 days.…",7/30/2019
"everywhere, USA",89586,"RT @NotATweeter16: @ddale8 Is this like how he knew for a fact that COVID-19 was going to go away with the warm weather ""like a miracle""? O…",11/13/2016
"Basically Canada, USA",229737,"@AzureTaryu Wisconsin's Republican senators are upset at our govoner's stay at home order, so they're asking the su… https://t.co/Z0j7de4GdT",11/11/2010
"Eau Claire, WI",165690,RT @anandcpatel: @KatyTurNBC @wendellpotter https://t.co/caGnhOf13t story could use national TV attention ...,1/4/2018
"Philadelphia, PA",75165,"RT @samswey: “For those earning $1 million annually, a tax break buried in the coronavirus relief legislation is so generous that its total…",10/14/2009
"Bellingham, WA",51879,RT @glennkirschner2: Trump absorbs/processes info on a 3rd grade level. Doctors talk about the impact of disinfectant &amp; UV rays on the viru…,12/28/2015
"St Louis, MO",61987,RT @RudyGiuliani: This cannot be ignored. It must be investigated fully.,5/28/2017
"Omaha, NE",6772,Telepresence robots with caps and gowns look a hell of a lot less silly during a pandemic https://t.co/QMK0Si6mid https://t.co/StRfkn5PnL,5/4/2013
"Saratoga Springs, NY",22738,"RT @medit8now: To be fair, if he tries it first on that air, I may consider it.",10/9/2018
"Atlanta, GA",0,FBI warns about coronavirus scams happening in Hampton Roads | #cyberfraud | #criminal | #cybercrimnals… https://t.co/4arI0pNmvT,1/27/2010
"Georgia, USA",47782,RT @jazlynchanel: today i finally got to hug my mom😭she beat covid19,6/30/2017
"Washington, USA",50779,"RT @6abc: Philadelphia's ""Pizza Groundhog"" is enjoying this coronavirus quarantine with a full stomach! 🍕 Thanks for sending in this video…",3/3/2012
"Wilmington, North Carolina",61126,"RT @RBReich: So let me get this straight: Jeff Bezos has grown his fortune by $24,000,000,000 during this pandemic, but he still can't affo…",3/4/2010
